State,Latitude,Longitude
andaman-&-nicobar-islands,7.1205395,93.7841503
andhra-pradesh,15.9128998,79.7399875
arunachal-pradesh,28.2179994,94.7277528
assam,26.2006043,92.9375739
bihar,25.9644427,85.2722472
chandigarh,30.7333148,76.7794179
chhattisgarh,21.2786567,81.8661442
dadra-&-nagar-haveli-&-daman-&-diu,20.1808672,73.0169135
delhi,28.7040592,77.1024902
goa,15.2993265,74.123996
gujarat,22.6708317,71.5723953
haryana,29.0587757,76.085601
himachal-pradesh,32.1024076,77.5619419
jammu-&-kashmir,32.7266016,74.8570259
jharkhand,23.6913486,85.2722472
karnataka,15.3172775,75.7138884
kerala,10.1631526,76.6412712
ladakh,34.2268475,77.5619419
lakshadweep,9.985089192,72.93247325
madhya-pradesh,22.9734229,78.6568942
maharashtra,19.7514798,75.7138884
manipur,24.6637173,93.9062688
meghalaya,25.4670308,91.366216
mizoram,23.164543,92.9375739
nagaland,26.1584354,94.5624426
odisha,20.2375561,84.2700179
puducherry,11.9415915,79.8083133
punjab,31.1471305,75.3412179
rajasthan,27.0238036,74.2179326
sikkim,27.3516407,88.3239309
tamil-nadu,11.1271225,78.6568942
telangana,18.1124372,79.0192997
tripura,23.5638643,91.6760691
uttar-pradesh,27.5705886,80.0981869
uttarakhand,30.066753,79.0192997
west-bengal,22.9867569,87.8549755
